,Time,Global ID,Local ID,Clean Price,Yield,Face Amount (MM),Coupon,Days,Years,Maturity
0,01:17:32 PM,SMPHPM 5.1683 05/18/24,SMPH 05-24 R22,104.75315400000001,3.7,0.25,5.1683,1271,3.48,2024-05-18
1,01:10:00 PM,ACPM 4.82 02/10/25,AC 25 R23,103.948802,3.8,1.0,4.82,1539,4.21,2025-02-10
2,08:35:54 AM,VLLPM 5.7512 08/08/24,VLL 24 R23,99.342433,5.95,5.0,5.7512,1353,3.7,2024-08-08
3,01:03:09 PM,SMCGL 4.3458 07/11/21,SMCGP 21 R19,101.33344100000001,2.2,6.0,4.3458,229,0.63,2021-07-11
4,11:58:02 AM,ALIPM 4.85 03/23/26,ALI 26 R23,104.770386,3.85,0.94,4.85,1945,5.33,2026-03-23
5,11:53:31 AM,SMCGL 5.1792 07/11/26,SMCGP 26 R23,104.372289,4.3,1.0,5.1792,2055,5.63,2026-07-11
6,11:45:13 AM,ALIPM 4 3/4 10/25/25,ALI 25 R22,104.63199,3.71,2.0,4.75,1796,4.92,2025-10-25
7,11:05:19 AM,MBTPM 4 1/2 04/24/23,MBT 04-23,102.532184,3.4,7.0,4.5,881,2.41,2023-04-24
8,11:34:10 AM,FFPM 6.0952 07/21/24,DD 24 R22,101.956434,5.5,1.0,6.0952,1335,3.66,2024-07-21
9,11:39:48 AM,FFPM 6.0952 07/21/24,DD 24 R22,101.956434,5.5,2.0,6.0952,1335,3.66,2024-07-21
10,01:27:43 PM,SMCPM 5.1923 04/07/22,SMC 04-22 R20,102.991535,2.95,2.5,5.1923,499,1.37,2022-04-07
11,10:45:05 AM,FFPM 6.0952 07/21/24,DD 24 R22,101.956434,5.5,5.0,6.0952,1335,3.66,2024-07-21
12,10:36:19 AM,FFPM 6.0952 07/21/24,DD 24 R22,101.956434,5.5,3.0,6.0952,1335,3.66,2024-07-21
13,01:18:30 PM,SMPHPM 4.2005 07/26/26,SMPH 26 R23,102.031129,3.8,6.0,4.2005,2070,5.67,2026-07-26
14,01:19:55 PM,APPM 5.2757 10/14/26,AP 26 R25,107.06048799999999,3.925,1.6,5.2757,2150,5.89,2026-10-14
15,10:42:45 AM,PCORPM 4.0032 10/27/21,PCOR 21 R19,101.129814,2.75,1.0,4.0032,337,0.92,2021-10-27
16,10:46:21 AM,FBPM 5.05 03/10/25,SMFB 25 R23,101.936192,4.55,1.55,5.05,1567,4.29,2025-03-10
